X,Y,Latitude,Longitude,Station,comment,start,finish,Problem1_from,Problem1_to
351336.0221,5828358.2,-37.67994,145.3141,SU_F3,na,24/10/2017,9/02/2018,na,na
352137.179,5828349.266,-37.68015,145.32318,SU_H3,stringybark with cable lock,24/10/2017,9/02/2018,na,na
352908.6143,5829712.71,-37.66799,145.3322,SU_J5,wattle tree with cable lock,24/10/2017,9/02/2018,na,na
352487.368,5829042.574,-37.67396,145.32729,SU_I4,cable locked onto tree,24/10/2017,9/02/2018,na,na
351851.1103,5829199.905,-37.67244,145.32011,SU_G4,cable locked onto tree,24/10/2017,9/02/2018,na,na
351356.4547,5829723.795,-37.66764,145.31461,SU_F5,locked,24/10/2017,9/02/2018,na,na
351791.1216,5830528.533,-37.66046,145.3197,SU_G6,small group of trees next to water tank. Locked. Brushcutter on next visit,24/10/2017,9/02/2018,na,na
352527.366,5830410.724,-37.66164,145.32802,SU_I6,on tree under single power line. Locked,24/10/2017,9/02/2018,20/12/2017,7/02/2018
353286.6661,5830434.221,-37.66155,145.33663,SU_K6,on messmate along game trail 50m from fence. Locked,24/10/2017,9/02/2018,na,na
352083.2856,5829783.449,-37.66722,145.32286,SU_H5,40m from water in gully. Locked,24/10/2017,9/02/2018,20/12/2017,7/02/2018
350078.2427,5830391.1,-37.66142,145.30026,SU_D6,30m from waters edge. Locked,24/10/2017,9/02/2018,na,na
350520.2003,5829714.266,-37.66759,145.30513,SU_E5,On tree. 30m from waters edge. Locked,24/10/2017,9/02/2018,na,na
338885.5249,5844295.464,-37.53426,145.17648,YY_L7,na,24/10/2017,9/02/2018,na,na
338505.2367,5844987.378,-37.52796,145.17233,YY_K8,"grassy clear area, heavy shrubs around",24/10/2017,9/02/2018,na,na
337726.3168,5844992.181,-37.52778,145.16352,YY_I8,"off track 4, 60-80 metres",24/10/2017,9/02/2018,na,na
337368.2999,5845668.944,-37.52162,145.15962,YY_H9,"bungy cord used, no lock",24/10/2017,9/02/2018,na,na
334750.8088,5842939.924,-37.54574,145.1294,YY_B5,South of kangaroo fence,24/10/2017,9/02/2018,na,na
335336.3891,5843628.673,-37.53964,145.13618,YY_C6,along junction of two game trails,24/10/2017,9/02/2018,na,na
335768.0261,5844284.361,-37.53381,145.14121,YY_D7,on junction of game trail,24/10/2017,9/02/2018,na,na
336106.5604,5845002.567,-37.5274,145.1452,YY_E8,placed in creekline with two game trails,24/10/2017,9/02/2018,na,na
335451.129,5845065.093,-37.52672,145.1378,YY_C8,na,24/10/2017,9/02/2018,na,na
336116.9024,5843537.55,-37.5406,145.14499,YY_E6,on large pine overlooking grassy area with lock,24/10/2017,9/02/2018,na,na
337700.0074,5843624.141,-37.5401,145.16292,YY_I6,on bungy cord attached to stringybark tree,24/10/2017,9/02/2018,na,na
338145.9186,5844282.195,-37.53425,145.16811,YY_J7,on bungy cord,24/10/2017,9/02/2018,na,na
336922.5301,5843606.69,-37.54012,145.15412,YY_G6,on bungy cord,24/10/2017,9/02/2018,na,na
337319.2285,5842938.475,-37.54621,145.15846,YY_H5,substantial creek line with lamandra. Next to wallow and well used creek bank.,24/10/2017,9/02/2018,na,na
337723.0909,5842217.103,-37.55278,145.16287,YY_I5,bungee cord on stringybark tree,24/10/2017,9/02/2018,na,na
338137.2852,5842911.173,-37.5466,145.16771,YY_J5,open area attached to tree,24/10/2017,9/02/2018,na,na
338524.6151,5843581.386,-37.54063,145.17224,YY_K6,mounted on a star picket,24/10/2017,9/02/2018,na,na
337298.1699,5844238.993,-37.53449,145.15851,YY_H7,at end of dozer track into bush,24/10/2017,9/02/2018,na,na
336556.6,5844235.534,-37.53439,145.15012,YY_F7,na,24/10/2017,9/02/2018,na,na
336870.259,5844963.207,-37.52789,145.15383,YY_G8,na,24/10/2017,9/02/2018,na,na
336571.4274,5845638.88,-37.52175,145.1506,YY_F9,on wattle tree,24/10/2017,9/02/2018,na,na
336121.8915,5846377.066,-37.51502,145.14568,YY_E0,on game trail,24/10/2017,9/02/2018,na,na
335744.4493,5845655.876,-37.52145,145.14125,YY_D9,on stringybark with coppice growth,24/10/2017,9/02/2018,na,na
336284.2634,5840699.203,-37.5662,145.14625,YY_F4,on tree with cable lock,24/10/2017,9/02/2018,na,na
336544.4113,5842878.857,-37.54661,145.14968,YY_F5,on pine on cable lock,24/10/2017,9/02/2018,na,na
335960.0666,5842751.89,-37.54765,145.14304,YY_D5,on cable lock,25/10/2017,5/02/2018,na,na
336935.2652,5842238.295,-37.55245,145.15396,YY_G4,cable locked onto tree,24/10/2017,9/02/2018,na,na
337322.806,5841493.311,-37.55923,145.15818,YY_H3,on pine tree with cable lock,24/10/2017,9/02/2018,na,na
336560.1941,5841493.867,-37.55909,145.14955,YY_F3,on pine tree near rub trees with cable lock,24/10/2017,9/02/2018,na,na
365302.5026,5797190.165,-37.96292,145.46663,CA_R4,70m off fenceline,24/10/2017,9/02/2018,na,na
359756.4597,5795770.571,-37.97487,145.40324,CA_E2,"40m off waters edge, locked",24/10/2017,9/02/2018,na,na
360523.6052,5795763.715,-37.97505,145.41197,CA_G2,on no through road. Locked,24/10/2017,9/02/2018,na,na
361370.2304,5795732.606,-37.97546,145.4216,CA_H2,60m off water's edge,24/10/2017,9/02/2018,na,na
362856.914,5795726.6,-37.97574,145.43852,CA_M2,"pine tree, 50m off water's edge",24/10/2017,9/02/2018,na,na
362140.9139,5795775.605,-37.97519,145.43038,CA_J2,20m off water's edge,24/10/2017,9/02/2018,na,na
363311.8191,5795108.219,-37.98138,145.44358,CA_M1,"pine tree ,30m off road",24/10/2017,9/02/2018,na,na
363664.5358,5795714.579,-37.97597,145.44771,CA_O2,"pine tree, 60m off water's edge",24/10/2017,9/02/2018,na,na
364495.2923,5795790.545,-37.97541,145.45718,CA_P2,blackwood,24/10/2017,9/02/2018,na,na
364134.8892,5796436.088,-37.96954,145.4532,CA_O3,"small blackwood, 20m off road",24/10/2017,9/02/2018,na,na
364923.2288,5796478.005,-37.96928,145.46218,CA_Q3,"3 forked tree, 40m off track",24/10/2017,9/02/2018,24/10/2017,19/12/2017
364512.5721,5797187.108,-37.96283,145.45764,CA_P4,medium sized tree on edge of clearing,24/10/2017,9/02/2018,24/10/2017,18/12/2017
363736.7035,5797130.933,-37.96322,145.4488,CA_N4,"wattle tree, 50m off lake edge",24/10/2017,9/02/2018,na,na
361377.5857,5798565.287,-37.94994,145.42223,CA_H6,30m from edge of reservoir,24/10/2017,9/02/2018,na,na
362124.0654,5798547.929,-37.95021,145.43072,CA_K6,small tree near game pad,24/10/2017,9/02/2018,na,na
361018.1838,5799234.031,-37.94386,145.41827,CA_H7,tree next to trail,24/10/2017,9/02/2018,na,na
360480.6236,5799830.912,-37.9384,145.41227,CA_G8,on messmate facing flat area,24/10/2017,9/02/2018,na,na
359712.0062,5798567.982,-37.94966,145.40328,CA_E6,8m pine tree,24/10/2017,9/02/2018,24/10/2017,11/12/2017
360158.2029,5799253.792,-37.94355,145.40849,CA_F7,on base of large pine tree,24/10/2017,9/02/2018,na,na
359304.6497,5799205.867,-37.94385,145.39877,CA_D7,under powerlines on fire break (easy to find),24/10/2017,9/02/2018,24/10/2017,11/12/2017
358593.6796,5799249.113,-37.94335,145.39069,CA_B7,on a 6m high pine tree,24/10/2017,9/02/2018,na,na
361282.0025,5797152.94,-37.96265,145.42087,CA_H4,on large tree at top of small gully,24/10/2017,9/02/2018,na,na
361728.7271,5797861.981,-37.95633,145.42609,CA_I5,on tree above gully facing pinch point,24/10/2017,9/02/2018,na,na
360978.8308,5797877.022,-37.95608,145.41756,CA_H5,small tree on trail pointing at rubbed tree,24/10/2017,9/02/2018,na,na
361752.4057,5799217.607,-37.94412,145.42662,CA_I7,on blackwood tree looking over grassy track,24/10/2017,9/02/2018,na,na
362518.976,5797850.879,-37.95655,145.43508,CA_K5,on large tree (burnt) forked tree,24/10/2017,9/02/2018,na,na
362926.386,5797190.65,-37.96256,145.43959,CA_L4,medium pine tree,24/10/2017,9/02/2018,na,na
362907.8001,5798562.206,-37.9502,145.43964,CA_L6,dead tree 12ft long,24/10/2017,9/02/2018,na,na
363667.515,5798593.766,-37.95003,145.44829,CA_N6,medium tree,24/10/2017,9/02/2018,na,na
364178.4486,5797887.475,-37.95647,145.45397,CA_P5,wattle tree (medium size),24/10/2017,9/02/2018,na,na
364912.0921,5797844.126,-37.95697,145.46231,CA_Q5,fern tree on trail,24/10/2017,9/02/2018,na,na
