"Station","lat","lon","Start","Finish","Problem1_from","Problem1_to","Problem2_from","Problem2_to","X","Y"
"WD01",-22.0116831295292,149.852445755792,"28/08/2019","29/10/2019",NA,NA,NA,NA,794495.813975805,7563130.81431072
"WD02",-22.0118502310127,149.861152461003,"28/08/2019","29/10/2019",NA,NA,NA,NA,795394.916174292,7563095.4791676
"WD03",-22.0093115496878,149.851046469082,"28/08/2019","29/10/2019",NA,NA,NA,NA,794356.164535578,7563396.24952948
"WD04",-22.0093673205059,149.853948642706,"28/08/2019","29/10/2019",NA,NA,NA,NA,794655.863276242,7563384.47245804
"WD05",-22.0094230400847,149.856850825585,"28/08/2019","29/10/2019",NA,NA,NA,NA,794955.563391046,7563372.6953069
"WD06",-22.0094787084236,149.85975301771,"28/08/2019","29/10/2019","28/08/2019","16/09/2019",NA,NA,795255.264879993,7563360.91807604
"WD07",-22.0095343255219,149.862655219073,"28/08/2019","29/10/2019",NA,NA,NA,NA,795554.967743097,7563349.14076542
"WD08",-22.0068841216766,149.846745113143,"27/08/2019","29/10/2019",NA,NA,NA,NA,793916.817590854,7563673.45935994
"WD09",-22.0069399627988,149.849647225306,"27/08/2019","29/10/2019",NA,NA,NA,NA,794216.514339289,7563661.68359804
"WD10",-22.0069957526887,149.852549346737,"28/08/2019","29/10/2019",NA,NA,NA,NA,794516.212461879,7563649.90775649
"WD11",-22.0070514913457,149.855451477426,"28/08/2019","29/10/2019",NA,NA,NA,NA,794815.911958631,7563638.13183525
"WD12",-22.0071071787691,149.858353617365,"28/08/2019","29/10/2019",NA,NA,NA,NA,795115.612829547,7563626.35583432
"WD13",-22.0071628149582,149.861255766545,"28/08/2019","29/10/2019",NA,NA,NA,NA,795415.315074639,7563614.57975364
"WD14",-22.0045683688666,149.848248024456,"27/08/2019","29/10/2019",NA,NA,NA,NA,794076.863386944,7563927.11651637
"WD15",-22.0046241778223,149.851150093698,"27/08/2019","29/10/2019",NA,NA,NA,NA,794376.560891433,7563915.34190471
"WD16",-22.0046799355515,149.854052172202,"27/08/2019","29/10/2019",NA,NA,NA,NA,794676.259770104,7563903.56721339
"WD17",-22.0047356420534,149.85695425996,"27/08/2019","29/10/2019",NA,NA,NA,NA,794975.960022963,7563891.79244238
"WD18",-22.0047912973274,149.859856356963,"28/08/2019","29/10/2019",NA,NA,NA,NA,795275.661650017,7563880.01759166
"WD19",-22.0048469013727,149.862758463203,"28/08/2019","29/10/2019",NA,NA,NA,NA,795575.36465127,7563868.2426612
"WD20",-22.0021967678955,149.846848866522,"27/08/2019","29/10/2019",NA,NA,NA,NA,793937.211678546,7564192.54828446
"WD21",-22.0022525959111,149.849750883581,"27/08/2019","29/10/2019","27/08/2019","29/10/2019",NA,NA,794236.90856491,7564180.77490269
"WD22",-22.0023083727065,149.852652909905,"27/08/2019","29/10/2019",NA,NA,NA,NA,794536.606825475,7564169.00144129
"WD23",-22.0023640982809,149.855554945487,"27/08/2019","29/10/2019",NA,NA,NA,NA,794836.306460246,7564157.22790022
"WD24",-22.0024197726338,149.858456990317,"27/08/2019","29/10/2019",NA,NA,NA,NA,795136.007469234,7564145.45427946
"WD25",-22.0024753957644,149.861359044388,"27/08/2019","29/10/2019",NA,NA,NA,NA,795435.709852441,7564133.68057897
"WD26",-22.0025309676721,149.86426110769,"27/08/2019","29/10/2019",NA,NA,NA,NA,795735.413609881,7564121.90679874
"WD27",-22.0025864883561,149.867163180216,"27/08/2019","29/10/2019",NA,NA,NA,NA,796035.118741553,7564110.13293873
"WD28",-22.0026419578159,149.870065261957,"27/08/2019","29/10/2019",NA,NA,NA,NA,796334.825247471,7564098.35899891
"WD29",-22.0026973760507,149.872967352903,"27/08/2019","29/10/2019",NA,NA,NA,NA,796634.533127641,7564086.58497927
"WD30",-22.0002705024191,149.868665729604,"28/08/2019","29/10/2019",NA,NA,NA,NA,796195.167838364,7564363.79945652
"WD31",-22.0003259397586,149.871567768401,"28/08/2019","29/10/2019","28/08/2019","29/10/2019",NA,NA,796494.875100539,7564352.02666694
"WD32",-22.0003813258788,149.874469816399,"27/08/2019","29/10/2019",NA,NA,NA,NA,796794.583736994,7564340.25379752
"WD33",-22.000436660779,149.87737187359,"27/08/2019","29/10/2019",NA,NA,NA,NA,797094.293747735,7564328.48084823
"WD34",-21.9979544963826,149.870168226842,"28/08/2019","29/10/2019",NA,NA,NA,NA,796355.216317159,7564617.46720438
"WD35",-21.9980099016078,149.873070222699,"27/08/2019","29/10/2019",NA,NA,NA,NA,796654.92433561,7564605.69556505
"WD36",-21.9980652556194,149.875972227752,"27/08/2019","29/10/2019","27/08/2019","29/10/2019",NA,NA,796954.633728371,7564593.92384588
"WD37",-21.9981205584167,149.878874241994,"27/08/2019","29/10/2019",NA,NA,NA,NA,797254.344495444,7564582.15204683
"WD38",-21.995583045927,149.86876872822,"27/08/2019","29/10/2019",NA,NA,NA,NA,796215.556777499,7564882.90659154
"WD39",-21.9956384702513,149.87167067194,"27/08/2019","29/10/2019",NA,NA,NA,NA,796515.264177927,7564871.13618231
"WD40",-21.9956938433683,149.87457262486,"27/08/2019","29/10/2019",NA,NA,NA,NA,796814.972952679,7564859.36569326
"WD41",-21.9957491652773,149.877474586972,"27/08/2019","29/10/2019",NA,NA,NA,NA,797114.683101764,7564847.59512436
"WD42",-21.9958044359778,149.880376558267,"27/08/2019","29/10/2019",NA,NA,NA,NA,797414.394625189,7564835.82447557
"WD43",-21.9933224240301,149.873173064906,"27/08/2019","29/10/2019",NA,NA,NA,NA,796675.311420663,7565124.80639037
"WD44",-21.9934330548574,149.878976894067,"27/08/2019","29/10/2019","27/08/2019","29/10/2019",NA,NA,797274.731857167,7565101.26763299
